,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
19,O60307,MAST3_HUMAN,MAST3 KIAA0561,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm, cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side",Microtubule-associated serine/threonine-protein kinase 3 
20,O15021,MAST4_HUMAN,MAST4 KIAA0303,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasm,Microtubule-associated serine/threonine-protein kinase 4 
21,Q96GX5,GWL_HUMAN,MASTL GW GWL THC2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Nucleus Cleavage furrow",Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL)  (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)
22,O15530,PDPK1_HUMAN,PDPK1 PDK1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Nucleus Cleavage furrow",3-phosphoinositide-dependent protein kinase 1 (hPDK1) 
23,Q6A1A2,PDPK2_HUMAN,PDPK2P PDPK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily",Cytoplasm Membrane Peripheral membrane protein,Putative 3-phosphoinositide-dependent protein kinase 2  (3-phosphoinositide-dependent protein kinase 2 pseudogene)
24,Q16512,PKN1_HUMAN,PKN1 PAK1 PKN PRK1 PRKCL1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Nucleus Endosome Cell membrane Peripheral membrane protein Cleavage furrow Midbody,Serine/threonine-protein kinase N1  (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)
25,Q16513,PKN2_HUMAN,PKN2 PRK2 PRKCL2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily","Cytoplasm Nucleus Membrane Cell projection, lamellipodium Cytoplasm, cytoskeleton Cleavage furrow Midbody Cell junction",Serine/threonine-protein kinase N2  (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)
26,Q6P5Z2,PKN3_HUMAN,PKN3 PKNBETA,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily","Nucleus Cytoplasm, perinuclear region",Serine/threonine-protein kinase N3  (Protein kinase PKN-beta) (Protein-kinase C-related kinase 3)
27,P17612,KAPCA_HUMAN,PRKACA PKACA,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Cytoplasm. Cell membrane. Nucleus Mitochondrion Membrane Lipid-anchor,cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) 
28,P22694,KAPCB_HUMAN,PRKACB,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) 
29,P22612,KAPCG_HUMAN,PRKACG,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Cytoplasm Cell membrane Membrane Lipid-anchor Nucleus,cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) 
30,P17252,KPCA_HUMAN,PRKCA PKCA PRKACA,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Cell membrane Peripheral membrane protein Mitochondrion membrane Peripheral membrane protein Nucleus,Protein kinase C alpha type (PKC-A) (PKC-alpha) 
31,P05771,KPCB_HUMAN,PRKCB PKCB PRKCB1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Nucleus Membrane Peripheral membrane protein,Protein kinase C beta type (PKC-B) (PKC-beta) 
32,Q05655,KPCD_HUMAN,PRKCD,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily","Cytoplasm Cytoplasm, perinuclear region Nucleus Cell membrane Peripheral membrane protein",Protein kinase C delta type  (Tyrosine-protein kinase PRKCD)  (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]
33,Q02156,KPCE_HUMAN,PRKCE PKCE,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily","Cytoplasm Cytoplasm, cytoskeleton Cell membrane Cytoplasm, perinuclear region Nucleus",Protein kinase C epsilon type  (nPKC-epsilon)
34,P05129,KPCG_HUMAN,PRKCG PKCG,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily","Cytoplasm Cytoplasm, perinuclear region Cell membrane Peripheral membrane protein Cell junction, synapse, synaptosome Cell projection, dendrite",Protein kinase C gamma type (PKC-gamma) 
35,P24723,KPCL_HUMAN,PRKCH PKCL PRKCL,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm,Protein kinase C eta type  (PKC-L) (nPKC-eta)
36,P41743,KPCI_HUMAN,PRKCI DXS1179E,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Membrane Endosome Nucleus,Protein kinase C iota type  (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)
37,Q04759,KPCT_HUMAN,PRKCQ PRKCT,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Membrane Endosome Nucleus,Protein kinase C theta type  (nPKC-theta)
38,Q05513,KPCZ_HUMAN,PRKCZ PKC2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",Cytoplasm Endosome Cell junction Membrane Peripheral membrane protein,Protein kinase C zeta type  (nPKC-zeta)
39,Q13976,KGP1_HUMAN,PRKG1 PRKG1B PRKGR1A PRKGR1B,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily",Cytoplasm,cGMP-dependent protein kinase 1 (cGK 1) (cGK1)  (cGMP-dependent protein kinase I) (cGKI)
40,Q13237,KGP2_HUMAN,PRKG2 PRKGR2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily",Apical cell membrane Lipid-anchor,cGMP-dependent protein kinase 2 (cGK 2) (cGK2)  (cGMP-dependent protein kinase II) (cGKII)
41,P51817,PRKX_HUMAN,PRKX PKX1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Apical cell membrane Lipid-anchor,cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX)  (Protein kinase PKX1)
42,O43930,PRKY_HUMAN,PRKY,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Apical cell membrane Lipid-anchor,Putative serine/threonine-protein kinase PRKY 
43,Q13464,ROCK1_HUMAN,ROCK1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole Golgi apparatus membrane; Peripheral membrane protein. Cell projection, bleb. Cytoplasm, cytoskeleton Cell membrane Cell projection, lamellipodium Cell projection, ruffle","Rho-associated protein kinase 1  (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)"
44,O75116,ROCK2_HUMAN,ROCK2 KIAA0619,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome.","Rho-associated protein kinase 2  (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)"
45,Q15418,KS6A1_HUMAN,RPS6KA1 MAPKAPK1A RSK1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily","Cytoplasm. Cell membrane Peripheral membrane protein Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome.",Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1)  (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)
46,Q15349,KS6A2_HUMAN,RPS6KA2 MAPKAPK1C RSK3,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",Nucleus Cytoplasm,Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2)  (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)
47,P51812,KS6A3_HUMAN,RPS6KA3 ISPK1 MAPKAPK1B RSK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",Nucleus Cytoplasm,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3)  (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)
48,O75676,KS6A4_HUMAN,RPS6KA4 MSK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",Nucleus,Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4)  (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)
49,O75582,KS6A5_HUMAN,RPS6KA5 MSK1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",Nucleus,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5)  (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)
50,Q9UK32,KS6A6_HUMAN,RPS6KA6 RSK4,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily","Cytoplasm, cytosol Nucleus",Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6)  (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)
51,P23443,KS6B1_HUMAN,RPS6KB1 STK14A,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily","Cell junction, synapse, synaptosome Mitochondrion outer membrane. Mitochondrion.",Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1)  (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)
52,Q9UBS0,KS6B2_HUMAN,RPS6KB2 STK14B,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily","Cell junction, synapse, synaptosome Mitochondrion outer membrane. Mitochondrion.",Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2)  (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)
53,O00141,SGK1_HUMAN,SGK1 SGK,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cell junction, synapse, synaptosome Mitochondrion outer membrane. Mitochondrion.",Serine/threonine-protein kinase Sgk1  (Serum/glucocorticoid-regulated kinase 1)
54,Q9HBY8,SGK2_HUMAN,SGK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasm Nucleus,Serine/threonine-protein kinase Sgk2  (Serum/glucocorticoid-regulated kinase 2)
55,Q96BR1,SGK3_HUMAN,SGK3 CISK SGKL,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase Sgk3  (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)
56,Q15208,STK38_HUMAN,STK38 NDR1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase 38  (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)
57,Q9Y2H1,ST38L_HUMAN,STK38L KIAA0965 NDR2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasmic vesicle Early endosome. Recycling endosome.,Serine/threonine-protein kinase 38-like  (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)
58,Q8TDC3,BRSK1_HUMAN,BRSK1 KIAA1811 SAD1 SADB,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cytoplasm Nucleus Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cell junction, synapse",Serine/threonine-protein kinase BRSK1  (Brain-selective kinase 1)  (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)
59,Q8IWQ3,BRSK2_HUMAN,BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cytoplasm Nucleus Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cell junction, synapse",Serine/threonine-protein kinase BRSK2  (Brain-selective kinase 2)  (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)
60,Q14012,KCC1A_HUMAN,CAMK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1  (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)
61,Q8IU85,KCC1D_HUMAN,CAMK1D CAMKID,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1D  (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)
62,Q96NX5,KCC1G_HUMAN,CAMK1G CLICK3 VWS1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Cytoplasm Golgi apparatus membrane Peripheral membrane protein Cell membrane Peripheral membrane protein,Calcium/calmodulin-dependent protein kinase type 1G  (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)
63,Q9UQM7,KCC2A_HUMAN,CAMK2A CAMKA KIAA0968,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily","Cell junction, synapse Cell junction, synapse, postsynaptic cell membrane, postsynaptic density Cell projection, dendritic spine Cell projection, dendrite",Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) 
64,Q13554,KCC2B_HUMAN,CAMK2B CAM2 CAMK2 CAMKB,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily","Cytoplasm, cytoskeleton Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side Cell junction, synapse",Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) 
65,Q13557,KCC2D_HUMAN,CAMK2D CAMKD,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily","Cell membrane, sarcolemma Peripheral membrane protein Cytoplasmic side Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side",Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) 
66,Q13555,KCC2G_HUMAN,CAMK2G CAMK CAMK-II CAMKG,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) 
67,Q16566,KCC4_HUMAN,CAMK4 CAMK CAMK-GR CAMKIV,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV)  (CaM kinase-GR)
68,Q8NCB2,CAMKV_HUMAN,CAMKV,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cell membrane Peripheral membrane protein Cytoplasmic vesicle membrane Peripheral membrane protein,CaM kinase-like vesicle-associated protein
69,O14936,CSKP_HUMAN,CASK LIN2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily; MAGUK family",Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Peripheral plasma membrane protein CASK (hCASK)  (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)
70,O14757,CHK1_HUMAN,CHEK1 CHK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily",Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase Chk1  (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)
71,O96017,CHK2_HUMAN,CHEK2 CDS1 CHK2 RAD53,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CHK2 subfamily",Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase Chk2  (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)
72,P53355,DAPK1_HUMAN,DAPK1 DAPK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Death-associated protein kinase 1 (DAP kinase 1) 
73,Q9UIK4,DAPK2_HUMAN,DAPK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",Nucleus Cytoplasm Cell membrane Peripheral membrane protein,Death-associated protein kinase 2 (DAP kinase 2)  (DAP-kinase-related protein 1) (DRP-1)
74,O43293,DAPK3_HUMAN,DAPK3 ZIPK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",Nucleus Cytoplasm,Death-associated protein kinase 3 (DAP kinase 3)  (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)
75,O15075,DCLK1_HUMAN,DCLK1 DCAMKL1 DCDC3A KIAA0369,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Nucleus Cytoplasm,Serine/threonine-protein kinase DCLK1  (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)
76,Q8N568,DCLK2_HUMAN,DCLK2 DCAMKL2 DCDC3B DCK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Nucleus Cytoplasm,Serine/threonine-protein kinase DCLK2  (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)
77,Q9C098,DCLK3_HUMAN,DCLK3 DCAMKL3 DCDC3C KIAA1765,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase DCLK3  (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)
78,P57058,HUNK_HUMAN,HUNK MAKV,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm Nucleus,Hormonally up-regulated neu tumor-associated kinase  (B19) (Serine/threonine-protein kinase MAK-V)
79,O60229,KALRN_HUMAN,KALRN DUET DUO HAPIP TRAD,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cytoplasm, cytoskeleton",Kalirin  (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)
80,P49137,MAPK2_HUMAN,MAPKAPK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Nucleus,MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) 
81,Q16644,MAPK3_HUMAN,MAPKAPK3,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Nucleus Cytoplasm,MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3)  (Chromosome 3p kinase) (3pK)
